state,crop_type,farm_size_ha,avg_rainfall_mm,avg_temperature_c,soil_ph,soil_type,fertilizer_kg_per_ha,pesticide_used,irrigation_used,seed_variety,yield_tonnes_per_ha
Kogi,Rice,2.8,1468,30.8,6.68,Loamy,114.1,Yes,No,Improved,4.07
Cross River,Yam,0.43,2245,28.1,7.71,Loamy,158.9,No,No,Local,6.44
Kaduna,Cassava,0.57,926.4,33.7,5.96,Sandy,108.2,No,Yes,Improved,10.65
Taraba,Yam,0.88,1096.3,25.2,7.97,Loamy,157.4,Yes,Yes,Improved,10.08
Bauchi,Sorghum,0.87,644.7,33.5,5.81,Sandy,60.3,No,No,Improved,1.99
Lagos,Sorghum,2.56,2476.7,24.5,6.43,Loamy,80.8,Yes,No,Improved,1.35
Plateau,Cassava,1.64,1374.4,30.4,5.83,Clay,93.2,Yes,No,Local,8.48
Bauchi,Maize,7.35,774.5,33,5.81,Sandy,116.1,Yes,No,Improved,2.68
Yobe,Maize,1.38,457.8,35.4,6.03,Sandy,120.2,No,No,Local,1.84
Akwa Ibom,Maize,1.76,1586,23.4,6.72,Clay,158.5,Yes,No,Local,2.17
Akwa Ibom,Yam,1.19,2372.9,23.5,5.75,Clay,39.7,No,No,Improved,3.15
Cross River,Sorghum,0.35,1986.2,24.1,5.94,Clay,29.5,Yes,No,Local,1
Ondo,Sorghum,2.07,1566.1,22,5.78,Clay,84.5,No,No,Local,1.1
Kwara,Cassava,0.58,1292.9,25.6,7.04,Clay,37.1,No,No,Local,7.22
Kwara,Cassava,0.96,1027.6,26.9,6.62,Loamy,82.6,No,Yes,Local,7.92
Nasarawa,Maize,3.02,1426.2,30,6.29,Sandy,84,No,No,Improved,2.73
Cross River,Maize,1.61,2478.6,26,4.4,Loamy,133.1,No,Yes,Local,2.1
Enugu,Yam,1.59,2089.3,24.9,6.73,Clay,83.5,No,No,Local,8.12
Plateau,Rice,1.44,1329.4,28.4,6.54,Loamy,179.6,Yes,No,Local,3.19
Anambra,Sorghum,2.55,1757.4,28.6,6.46,Sandy,121.5,No,No,Improved,0.36
Cross River,Sorghum,0.24,2062.7,22.2,4.48,Loamy,91.8,Yes,No,Local,1.05
Abia,Rice,1.88,1770.3,23.3,4.51,Loamy,143.8,No,No,Local,2.26
Osun,Cassava,0.2,1601.1,28.5,5.82,Loamy,50.1,No,No,Local,7.36
Bauchi,Yam,2.09,713.8,28.7,5.86,Loamy,40.6,No,No,Improved,8.65
Kano,Maize,2.91,784.7,30.7,5.91,Sandy,44.9,Yes,No,Local,2.22
Gombe,Maize,2.19,860.7,33.8,5.44,Clay,137.6,No,No,Improved,2.62
Oyo,Cassava,2.05,2403,22.4,5.1,Sandy,166.5,Yes,No,Improved,8.79
Enugu,Rice,2.09,1563.1,29.8,5.73,Clay,64.9,Yes,No,Improved,3.15
Ogun,Yam,1.75,2443.4,23,6.39,Loamy,111.6,No,No,Local,6.72
Kaduna,Cassava,0.65,756.6,26.8,6.24,Sandy,63.1,No,Yes,Local,7.59
Imo,Cassava,1.11,2015.8,29.5,6.83,Sandy,81.8,Yes,No,Improved,11.66
Ekiti,Sorghum,4.64,1701.9,28.4,4.9,Loamy,114.7,Yes,No,Local,1.18
Kwara,Sorghum,0.66,1270.2,25.5,6.13,Loamy,93,Yes,No,Local,1.26
Imo,Maize,0.2,1997.6,26.2,5.69,Loamy,70.1,No,No,Local,1.58
Edo,Sorghum,0.87,1550.8,29.9,5.79,Loamy,47,No,No,Improved,1.83
Zamfara,Yam,0.78,852.4,29.1,6.67,Clay,65.8,No,No,Local,6.15
FCT,Cassava,0.2,1372.6,25,5.99,Loamy,82.4,Yes,Yes,Improved,13.27
Plateau,Cassava,0.72,1264.7,31.1,6.54,Sandy,125.1,No,Yes,Local,9.15
Edo,Rice,0.53,2205,22.6,6.23,Loamy,138.5,No,No,Local,3.24
Bauchi,Rice,1.68,756.8,28.2,7.4,Loamy,112.7,No,No,Local,2.02
Sokoto,Yam,0.2,499.2,34.4,5.11,Loamy,90.6,No,No,Local,3.22
Adamawa,Rice,9.1,1203.7,28.5,5.18,Clay,71.6,No,No,Improved,4
Kano,Cassava,0.3,760.7,28.4,5.83,Clay,57.9,Yes,No,Local,8.35
Anambra,Rice,3.09,2334.1,27.5,6.54,Clay,104.2,No,Yes,Improved,3.5
Akwa Ibom,Cassava,1.53,2464.5,24.1,4.89,Clay,81.2,No,No,Improved,4.02
Kogi,Yam,0.79,1019.3,25.7,6.39,Clay,95.2,No,No,Local,6.93
Taraba,Rice,2.24,1430.9,29.1,6.26,Clay,122.8,No,No,Improved,3.67
Nasarawa,Rice,1.78,1100.3,25.5,6.36,Clay,101.3,No,No,Local,2.91
Borno,Yam,0.75,460.8,30.2,6.23,Loamy,123.1,No,No,Local,7.41
Gombe,Yam,0.71,691.1,26.5,5.15,Loamy,105.8,Yes,No,Improved,7.6
Sokoto,Yam,2.67,511,35.4,4.31,Loamy,40.3,No,No,Improved,6.5
Akwa Ibom,Yam,0.36,1746.7,27.9,5.83,Loamy,115.5,No,No,Improved,12.75
Kogi,Sorghum,1.49,1237,31.9,6.16,Loamy,71.3,No,No,Improved,1.65
Gombe,Sorghum,1.16,734.7,31.5,5.49,Clay,0,No,No,Local,1.05
Imo,Yam,0.36,1530.9,25.2,5.63,Sandy,44.7,No,No,Local,7.79
Enugu,Cassava,1.69,1730.7,22.2,5.65,Sandy,0,No,No,Local,7.19
Borno,Yam,0.6,624.7,31.5,5.92,Sandy,105.1,No,No,Local,6.08
Kebbi,Maize,0.64,628.5,34.9,6.07,Sandy,98.8,No,No,Improved,2.51
Cross River,Sorghum,0.71,1947.4,24.8,5.87,Loamy,64.5,Yes,No,Improved,1.35
Ondo,Yam,0.74,1577.7,28.1,6.62,Clay,75.2,Yes,No,Local,8.92
Taraba,Sorghum,0.85,1311.8,25.1,5.46,Clay,17.7,No,No,Local,1.26
Imo,Sorghum,0.46,1737.1,28.6,6.05,Loamy,128.2,No,No,Local,0.99
Ebonyi,Sorghum,2.77,1571.9,26.1,5.31,Loamy,108.5,No,No,Local,1.19
Osun,Maize,1.11,1931.9,28.2,5.77,Loamy,114.1,No,No,Improved,2.61
Niger,Rice,1.55,1379.8,25.8,6,Sandy,148.4,No,No,Local,2.88
Ondo,Rice,0.22,2493.5,29.9,5.82,Loamy,140.8,Yes,No,Improved,4.06
Bauchi,Yam,0.55,994,34.2,6.04,Loamy,116.6,No,No,Improved,8.74
Enugu,Cassava,0.46,1830.7,23,4.95,Clay,8.5,No,No,Local,7.81
Gombe,Sorghum,1.28,710,26.6,5.52,Sandy,101.7,Yes,No,Local,1.17
Taraba,Yam,1.07,1446.5,24.1,6.47,Loamy,109.4,Yes,No,Improved,8.98
Rivers,Rice,2.86,1800.3,25.8,4.86,Clay,166.9,No,Yes,Local,3.03
Ondo,Sorghum,0.54,2310.5,27.7,5.45,Clay,0,Yes,No,Local,1.09
Kano,Yam,2.6,970.3,27.8,5.91,Loamy,53.6,Yes,No,Improved,10.47
Zamfara,Rice,0.86,631.3,33.6,4,Clay,151,Yes,No,Local,2.65
FCT,Rice,3.25,1254.9,26.5,5.29,Sandy,139.3,Yes,No,Improved,4.38
Akwa Ibom,Yam,0.47,1878.2,28.8,5.44,Clay,103.8,No,No,Local,6.11
Abia,Cassava,0.3,1571.2,25.8,6.17,Loamy,63.8,No,No,Local,7.52
Zamfara,Maize,0.77,954,30.4,5.83,Sandy,139.4,Yes,Yes,Local,2.93
Gombe,Cassava,0.27,612.8,31.5,6.54,Sandy,98.7,Yes,No,Local,8.59
Abia,Rice,0.72,2093.5,22.2,5.46,Loamy,55.6,No,No,Local,2.98
Bayelsa,Cassava,0.99,2287.6,27.1,7.55,Sandy,63.4,No,Yes,Local,4.29
Jigawa,Yam,1.48,429.6,32.8,6.46,Loamy,163.6,Yes,No,Local,7.26
Delta,Rice,0.4,2471.1,24.1,5.07,Loamy,132.6,No,No,Local,3.04
Edo,Cassava,3.66,1531.1,25.1,5.68,Clay,50.3,Yes,No,Local,11.24
Ekiti,Cassava,0.54,2352.6,26.6,6.07,Clay,120.7,No,Yes,Local,9.85
Bayelsa,Yam,7.03,2106.5,27.7,4.99,Loamy,110.9,No,No,Local,4.5
Ogun,Cassava,1.57,1539.6,22.9,5.82,Clay,38.6,Yes,No,Local,7.69
Ogun,Maize,1.37,1702.1,28.1,6.54,Sandy,101.3,Yes,No,Improved,2.93
Kebbi,Rice,0.29,906.8,33.3,5.44,Sandy,171.7,No,Yes,Improved,3.94
Delta,Sorghum,2.12,2102.4,28.9,6.15,Clay,79.9,No,No,Local,1.12
Kebbi,Cassava,0.72,957.5,29.8,6.03,Sandy,92.7,No,No,Local,8.34
Adamawa,Yam,0.73,1128.4,31.8,6.23,Sandy,85.9,No,No,Improved,10.96
Kebbi,Yam,0.64,646.1,31.1,5.51,Loamy,137.5,Yes,No,Local,8.32
Plateau,Yam,2.74,1447.4,25.5,5.43,Loamy,70.2,Yes,Yes,Improved,12.67
Gombe,Rice,0.77,968.9,26.8,4.8,Sandy,85.4,Yes,No,Local,2.41
Abia,Cassava,10.06,2205.3,22.5,5.74,Clay,99.4,Yes,No,Improved,10.88
Abia,Cassava,0.61,1868.3,26.3,5.35,Clay,91.5,Yes,No,Local,9.61
Gombe,Cassava,3.95,813.6,32.9,6.42,Sandy,78.2,No,No,Local,8.05
FCT,Yam,1.51,1229.2,24.7,6.01,Clay,96.1,No,No,Improved,8.93
Osun,Yam,10.67,2369.1,22.3,6.41,Loamy,111.1,No,No,Local,8.15
Lagos,Maize,4.51,2388,28.1,5.79,Clay,87.8,No,No,Local,1.72
Ogun,Maize,2.74,1504.9,27.8,5.94,Sandy,24.7,No,No,Local,1.86
Ondo,Yam,2.29,2495,22.6,5.86,Clay,131.6,Yes,No,Local,6.88
Akwa Ibom,Maize,0.47,1903.3,22.6,4,Clay,195.4,No,No,Improved,1.96
Niger,Maize,3.57,1214.2,29.5,7.59,Sandy,56.8,Yes,Yes,Improved,2.81
Borno,Maize,0.96,645,36.4,5.79,Sandy,84.4,Yes,No,Local,1.99
Yobe,Rice,5.11,695.6,29.5,6.2,Loamy,112.2,No,No,Local,2.92
Kwara,Rice,0.2,1231.1,26.6,6.01,Loamy,130.7,No,No,Local,3.32
Jigawa,Cassava,18.01,360.2,28.1,6.06,Sandy,123.4,No,Yes,Improved,11.09
Oyo,Maize,5.77,2095.2,29.9,5.52,Clay,150,No,No,Improved,2.43
Zamfara,Cassava,6.13,822.4,28.7,7.1,Sandy,50.1,No,No,Local,9.14
Ebonyi,Rice,1.35,1567.4,29.5,5.83,Clay,173.7,No,No,Local,2.52
Gombe,Sorghum,2.76,931.3,32.5,5.64,Clay,35.4,No,No,Local,1.31
Benue,Maize,1,1101.2,28.3,5.19,Clay,112.7,No,No,Improved,2.95
Kaduna,Sorghum,1.94,849.9,30.8,4.85,Clay,45.8,No,No,Local,1.55
Borno,Sorghum,2.6,631,33.9,5.56,Sandy,0,No,No,Local,1.07
Kogi,Maize,0.38,1186.7,31.6,7.28,Clay,161.1,No,No,Improved,2.22
Cross River,Sorghum,1.59,2459.1,25.2,5.91,Clay,82.8,No,No,Improved,1.82
Ondo,Sorghum,2.43,2450.5,28.6,5.72,Clay,26.9,No,No,Local,1.01
Gombe,Maize,0.79,693.1,33.5,5.17,Sandy,89,Yes,No,Local,2.12
Taraba,Maize,0.24,1456.7,31.2,6.03,Sandy,128.5,No,Yes,Improved,2.65
Kano,Cassava,5.15,605,30.6,6.59,Clay,89.9,No,No,Local,7.59
Bauchi,Rice,2.45,857.5,34.6,6.86,Sandy,120,No,Yes,Improved,3.96
Gombe,Rice,1.81,841.6,29.6,7.19,Sandy,142.2,Yes,No,Improved,4.03
Kano,Sorghum,1.23,878.7,33.7,6.38,Sandy,0,Yes,No,Local,1.17
Zamfara,Maize,1.27,780.4,29.6,6.1,Loamy,161.8,No,Yes,Local,2.62
Taraba,Rice,1.13,1333.7,27.7,5.66,Sandy,190.8,Yes,No,Local,2.81
FCT,Rice,5.43,1386.4,26.2,6.59,Clay,169.6,No,No,Improved,4.07
Bayelsa,Rice,11.54,1922.5,26.5,6.33,Clay,135.6,No,No,Improved,3.77
Bauchi,Rice,1.38,683.7,33.4,6.68,Sandy,123.6,No,No,Improved,3.73
Borno,Sorghum,0.35,638.5,37.9,6.5,Sandy,27.1,No,No,Improved,1.74
Niger,Yam,0.61,1198.3,27.2,5.37,Loamy,92.1,Yes,No,Local,9.23
Kaduna,Cassava,0.75,788.8,31.2,6.65,Clay,156.3,Yes,No,Improved,10.52
Ekiti,Cassava,1.62,2239.2,23.9,5.97,Loamy,50.6,Yes,No,Improved,12.3
Cross River,Cassava,0.62,2370.7,27.5,5.94,Loamy,51.7,No,No,Local,7.57
Enugu,Yam,0.71,1747.3,24,6.9,Clay,99.2,No,Yes,Improved,10.3
Gombe,Cassava,1.66,764.1,27.5,5.7,Loamy,74,No,Yes,Local,10.71
Oyo,Cassava,2.36,1960,23.5,7.1,Loamy,19.1,No,No,Improved,9.77
Kebbi,Cassava,0.27,674.7,30.5,6.9,Sandy,38.8,Yes,No,Improved,12.11
FCT,Sorghum,0.55,1262.5,29.2,6.6,Sandy,93.4,No,No,Improved,1.6
Kaduna,Maize,0.53,919.8,34,5.95,Sandy,114.3,No,No,Local,2.31
Jigawa,Sorghum,1.07,440.6,30.2,5.59,Clay,23.8,Yes,No,Local,1.19
Enugu,Yam,1.21,2079.7,27,5.34,Clay,198.3,No,Yes,Improved,7.9
Ondo,Cassava,2.93,2231,23.5,5.88,Clay,105.7,Yes,No,Local,9.99
Katsina,Yam,0.35,415.1,34.8,5.51,Sandy,78.7,No,No,Improved,6.49
Abia,Rice,1.29,1962.8,28.6,5.83,Loamy,92.9,Yes,Yes,Improved,4.85
Anambra,Cassava,1.62,1709.4,26.7,6.27,Clay,90.4,Yes,No,Improved,14.17
Kaduna,Yam,2.47,864.3,29.9,5.6,Loamy,89.7,Yes,Yes,Local,10.59
Ekiti,Rice,1.92,2430.7,22.3,4.66,Loamy,55,Yes,No,Local,0.82
Zamfara,Maize,1.95,819.9,29,4.92,Clay,147,Yes,Yes,Local,3.08
Ondo,Sorghum,0.61,2486.7,22.7,6.68,Sandy,79.7,Yes,No,Local,1.34
Ekiti,Sorghum,0.58,2467.9,22.5,5.53,Sandy,37.3,No,No,Local,1.05
Gombe,Yam,1.67,613.8,32.4,5.96,Loamy,86.4,Yes,No,Improved,8.62
Kwara,Sorghum,2.5,1297.1,25.7,6.05,Clay,0,Yes,Yes,Local,1.32
Imo,Cassava,3.33,2314.9,23.3,6.21,Clay,120.1,No,No,Local,8.41
Adamawa,Yam,0.82,1258.9,26.7,5.93,Loamy,73.5,Yes,No,Local,7.57
Abia,Cassava,1.55,2073.8,23.5,5.71,Loamy,135.7,No,No,Improved,9.33
Ogun,Yam,7.75,2113.6,24.2,7.1,Clay,59.2,Yes,No,Local,5.95
Cross River,Yam,1.13,1809.5,26.4,5.05,Loamy,70.2,No,Yes,Improved,9.51
Kaduna,Sorghum,4.66,633.8,33,7.15,Clay,61,Yes,No,Improved,2.21
Rivers,Sorghum,0.2,2448.1,22.7,5.79,Clay,0,No,No,Local,0.93
Borno,Sorghum,0.35,451.2,35.9,6.02,Sandy,116.4,No,No,Local,1.27
Bayelsa,Cassava,1.33,2424.3,28.1,5.45,Clay,65.6,Yes,No,Local,8.65
Ogun,Sorghum,1.82,1995.5,26.9,7.11,Clay,115.3,No,No,Improved,1.62
Bayelsa,Rice,4.59,1681.9,27.9,5.77,Clay,137.5,No,No,Improved,3.43
Jigawa,Sorghum,1.02,406.9,30.2,5.75,Sandy,64.7,Yes,No,Local,1.69
Plateau,Yam,2.14,1458,30.8,7.05,Sandy,69.5,Yes,No,Local,8.27
Sokoto,Yam,2.06,604.3,34.4,5.14,Clay,143.7,No,No,Local,5.52
Borno,Rice,1.07,553,29.6,6.14,Clay,129.4,Yes,No,Local,3.34
Kaduna,Rice,0.97,651.6,32.2,5.69,Loamy,83.1,Yes,No,Improved,4.65
Sokoto,Sorghum,0.7,450.6,31,7.45,Sandy,94.4,No,No,Improved,1.86
Kwara,Maize,0.55,1299.3,26.8,5.67,Loamy,129.2,Yes,No,Local,2
Cross River,Maize,0.74,2214.9,26.8,6.66,Loamy,193,No,No,Improved,2.76
Adamawa,Sorghum,1.55,1020.1,30.9,5.95,Loamy,90.3,Yes,No,Local,1.42
Cross River,Sorghum,1.3,2364.1,23.1,5.53,Clay,27,No,No,Local,1.13
Oyo,Maize,2.08,2431.8,28.1,5.49,Sandy,146.7,No,Yes,Local,2.02
Ondo,Cassava,22.84,2201.3,28.3,5.87,Loamy,80.9,Yes,No,Local,9.87
Kaduna,Sorghum,1.32,655.6,33.3,6.29,Clay,35.7,No,Yes,Local,1.27
Borno,Maize,2.03,681.6,30.8,5.55,Sandy,85,No,No,Local,2.37
Kaduna,Yam,1.75,951.8,30.3,6.6,Loamy,125.1,Yes,No,Local,7.36
Zamfara,Maize,0.44,631.7,32.3,5.75,Sandy,63.1,Yes,No,Improved,2.66
Niger,Rice,4.25,1320.8,29.7,5.6,Clay,97.8,Yes,Yes,Improved,4.83
Jigawa,Maize,0.59,376.3,34.4,6.49,Clay,160.7,Yes,No,Improved,3.28
Borno,Yam,0.88,602.5,33,6.18,Sandy,63.4,Yes,No,Improved,9.85
Zamfara,Maize,2.44,839.8,26.6,5.66,Loamy,163.9,Yes,Yes,Improved,3.7
Enugu,Cassava,0.44,1512.5,25.5,5.41,Loamy,124.9,No,No,Local,7.19
Adamawa,Cassava,1.1,1013.1,25.9,5.39,Loamy,94.3,Yes,No,Local,9.07
Zamfara,Maize,1.11,801.2,32,6.76,Loamy,112.9,Yes,Yes,Local,2.92
Niger,Cassava,4.83,1280.3,27.8,5.61,Clay,60.4,No,No,Local,8.19
Kwara,Sorghum,2.61,1067.5,27.5,5.59,Sandy,77.7,No,No,Local,1.4
Kaduna,Yam,2.81,714.7,33.8,6.34,Loamy,59.6,No,No,Local,6.57
Plateau,Sorghum,2.99,1487.1,24.2,6.79,Clay,0,No,No,Local,1.11
Benue,Yam,1.45,1439,30.5,6.01,Clay,24.6,No,Yes,Local,7.71
Ogun,Cassava,3.02,2120,28.3,7.18,Clay,31.3,No,No,Local,7.73
Rivers,Yam,0.2,2424.3,28.6,5.76,Loamy,75.1,No,No,Local,7.25
Niger,Cassava,1.16,1093.9,24.3,6.02,Loamy,102.1,No,No,Improved,9.04
Ondo,Maize,1.16,1535.1,29.9,5.32,Loamy,129,No,No,Improved,2.52
Delta,Sorghum,0.32,2293,27,5.25,Clay,28.2,No,No,Local,0.97
Enugu,Yam,3.84,2409.1,29.5,5.5,Loamy,39.4,No,No,Improved,8.04
Enugu,Cassava,0.24,1998.4,26.7,4.46,Clay,95.2,No,No,Improved,10.51
Bayelsa,Rice,0.62,2070.5,22,6.75,Loamy,222.6,No,No,Local,2.72
Katsina,Yam,2.4,688.5,37.2,5.1,Clay,73.9,No,No,Improved,9.49
Enugu,Rice,3.6,1932.3,22.9,5.71,Clay,88.5,Yes,No,Local,3.82
Ogun,Cassava,2.99,2092.2,23.2,5.84,Clay,94.1,Yes,No,Local,9.52
Kano,Maize,1.14,940.8,33.8,4.92,Clay,163.8,No,No,Improved,1.74
FCT,Sorghum,4.85,1252,31.2,6.68,Loamy,95,No,No,Local,1.21
